N,Algorithm,Structure,BestMs,MeanMs,MedianMs,WorstMs,BestOps,MeanOps,MedianOps,WorstOps
1300,Built-in Sort (Collections.sort),ArrayList,0.6984,0.9155,0.9154,1.0582,-1.0,-1.0,-1.0,-1.0
1500,Insertion Sort,ArrayList,5.9152,6.2596,6.3247,6.5193,992723.0,1014521.2,1012237.0,1031240.0
1500,Insertion Sort,LinkedList,1763.6808,1794.4848,1804.8281,1833.0291,996451.0,1014470.8,1016168.0,1028972.0
1500,Bubble Sort,ArrayList,23.2158,23.4558,23.2931,24.1170,1618618.0,1630284.0,1630418.0,1649666.0
1500,Bubble Sort,LinkedList,4545.7012,4593.9907,4580.8232,4664.8821,1618113.0,1626851.4,1622285.0,1639894.0
1500,Merge Sort,ArrayList,0.3870,0.4209,0.3901,0.5202,13355.0,13396.8,13380.0,13438.0
1500,Merge Sort,LinkedList,31.5092,31.5772,31.5745,31.6747,13373.0,13385.4,13388.0,13396.0
1500,Built-in Sort (Collections.sort),ArrayList,0.4222,0.6198,0.6050,0.8984,-1.0,-1.0,-1.0,-1.0
1697,Insertion Sort,ArrayList,7.8712,8.1541,8.0779,8.5885,1282855.0,1306666.4,1299068.0,1337965.0
1697,Insertion Sort,LinkedList,2552.6683,2625.8735,2608.0748,2750.3369,1276010.0,1301376.8,1294278.0,1338102.0
1697,Bubble Sort,ArrayList,31.5939,31.9105,31.8692,32.1490,2074889.0,2087381.8,2088704.0,2096806.0
1697,Bubble Sort,LinkedList,6664.2538,6767.7988,6768.1033,6838.5139,2067331.0,2090564.6,2092416.0,2108907.0
1697,Merge Sort,ArrayList,0.4431,0.4803,0.4851,0.5267,15385.0,15428.6,15426.0,15462.0
1697,Merge Sort,LinkedList,41.2919,42.0130,41.4435,43.8666,15378.0,15404.8,15410.0,15422.0
1697,Built-in Sort (Collections.sort),ArrayList,0.3932,0.4035,0.4056,0.4149,-1.0,-1.0,-1.0,-1.0
